P,positive,negative,NULL
体育人物_偶像,1274,2070622,2075
体育人物_国籍,12463,40154,12238
体育人物_教练,4861,2064424,4684
体育人物_竞争对手,11415,2054088,8468
体育人物_语言,1637,36032,2193
体育人物_运动项目,7018,41609,6332
历史人物_信仰,2658,116375,2486
历史人物_号,8136,2055588,10247
历史人物_国籍,5403,257928,8185
历史人物_字,3330,2066462,4179
历史人物_官职,2044,23402,691
历史人物_擅长,490,198919,402
历史人物_朝代,27937,221155,22700
历史人物_民族,750,183209,967
历史人物_配偶,26712,2031654,15605
学者_主讲,344,10523,504
学者_信仰,2270,162116,2478
学者_国籍,14443,60241,15261
学者_婚姻,144,20585,147
学者_学历,8583,104564,11034
学者_学生,30525,2022473,20973
学者_工作单位,24,411761,40
学者_民族,1147,19484,1750
学者_研究领域,2807,110241,4322
学者_老师,22718,2035336,14896
小说_主角,2,86560,1237
小说_发布时间,10,16779,2928
小说_更新时间,10,16766,2941
小说_进度,0,1425,52
明星_民族,861,182979,1131
明星_爱好,524,65345,548
明星_生肖,11621,92307,7508
明星_经纪公司,35,411705,84
歌曲_作曲,146,65304,2166
歌曲_地区,5,4759,733
歌曲_填词,67,66090,1460
歌曲_监制,0,67442,175
歌曲_类型,56,27842,1751
歌曲_编曲,18,66643,942
歌曲_语言,27,2043,408
电影_上映时间,5,32825,4979
电影_出品公司,0,29783,53
电影_分级,0,27082,15
电影_制片人,28,146694,1826
电影_发行公司,0,29723,113
电影_地区,87,20396,3275
电影_拍摄地点,73,77254,9182
电影_监制,4,148061,484
电影_类型,933,34325,9302
电影_职员表,5,147679,865
电影_色彩,5,341,153
电影_语言,15,3540,550
电视剧_上映时间,3,33362,4443
电视剧_主角,23,141403,7123
电视剧_制片人,26,147282,1236
电视剧_原著,13,146599,1937
电视剧_地区,52,20445,3260
电视剧_监制,9,148068,472
电视剧_编剧,70,146840,1639
电视剧_职员表,1,147981,567
电视剧_色彩,0,458,41
电视剧_语言,5,3611,489
